,SMILES,False positives,True positives,FP - mvsa,TP - mvsa,FP - catboost,TP - catboost,FP - filter,TP - filter,FP - score,TP - score
0,Brc1cc2ccccc2[n+](Cc2ccccc2)c1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,Brc1cccc(-c2nnc(SCc3nc4ccccc4[nH]3)o2)c1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,C#Cc1ccc2c(c1)COc1c3ccccc3nn1-2,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,C/C(=C\C(=O)c1ccncc1)Nc1ccccc1O,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,C/C(=N/NC(=O)CN1CCN(Cc2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,C/C(=N/NC(=O)CNC(=O)c1cccnc1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,C/C(=N\NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)c1ccco1,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1)c1cccs1,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,C/C(=N\Nc1cccc([N+](=O)[O-])c1)c1ccccc1O,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0
9,C/C(=N\Nc1nnc2c3ccccc3n(C)c2n1)c1ccc(C)o1,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,C/C(N)=C(/C#N)C(=O)COC(=O)c1cc(-c2ccc(C)cc2)nc2ccccc12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,C/C=N/NC(=O)c1cc(Br)ccc1O,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,C/[N+]([O-])=C1\Cc2ccccc2C1=O,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,1.0
13,C=C(C)C(COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)C(O)COc1c2occc2cc2ccc(=O)oc12,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,C=CCN1C(=O)/C(=C/c2ccc(O)c(OC)c2)S/C1=N/c1nccs1,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,C=CCN1C=Nc2cccc3cccc1c23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1.0
16,C=CCNC(=O)CCC(=O)NNc1nc2ccccc2c2nc(-c3ccccc3)nn12,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,C=CCNC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
18,C=CCNC(=S)N/N=C(\C)c1cccnc1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,C=CCNC1=C(Cl)C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0,1.0
20,C=CCNc1nnc(Sc2ncccc2[N+](=O)[O-])s1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
