,Time - mean,Time - STD,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,FP Scaffold - mean,FP Scaffold - std,TP Scaffold - mean,TP Scaffold - std
ion_channel_2,0.0,0.0,0.21364653243847875,0.21364653243847875,0.0,0.7863534675615212,0.7863534675615212,0.0,74.47362195410457,0.0,74.47362195410457,0.0
GPCR_2,0.0,0.0,0.7915966386554621,0.9747899159663865,0.0,0.20840336134453785,0.6629213483146067,0.0,98.04878048780488,0.0,83.58208955223881,0.0
GPCR,0.0,0.0,0.5113573407202217,0.7741935483870968,0.0,0.48864265927977835,0.4090909090909091,0.0,90.23136246786632,0.0,81.00649350649351,0.0
ion_channel,0.0,0.0,0.1590909090909091,0.5,0.0,0.8409090909090909,0.84,0.0,85.4251012145749,0.0,68.35016835016835,0.0
kinase,0.0,0.0,0.21621621621621623,0.5217391304347826,0.0,0.7837837837837838,0.9130434782608695,0.0,96.0,0.0,92.0,0.0
transporter,0.0,0.0,0.2929377350605934,0.42803030303030304,0.0,0.7070622649394066,0.7975708502024291,0.0,97.19298245614036,0.0,86.84210526315789,0.0
transcription_2,0.0,0.0,0.7640941434044882,0.8,0.0,0.23590585659551178,0.45652173913043476,0.0,97.3076923076923,0.0,82.3293172690763,0.0
transcription,0.0,0.0,0.4730878186968839,0.3855421686746988,0.0,0.5269121813031161,0.3,0.0,96.28252788104089,0.0,82.84518828451883,0.0
serine,0.0,0.0,0.9141494435612083,0.9446494464944649,0.0,0.08585055643879169,0.09302325581395349,0.0,92.27941176470588,0.0,96.94656488549619,0.0
ubiquitin,0.0,0.0,0.7067108533554267,0.7067108533554267,0.0,0.2932891466445733,0.29328914664457334,0.0,61.77429876060013,0.0,61.77429876060013,0.0
transcription_3,0.0,0.0,0.8126361655773421,0.8126361655773421,0.0,0.18736383442265792,0.18736383442265794,0.0,79.83240223463687,0.0,79.83240223463687,0.0
splicing,0.0,0.0,0.1154394299287411,0.20948616600790515,0.0,0.8845605700712589,0.9669811320754716,0.0,92.25092250922509,0.0,49.7737556561086,0.0
channel_atp,0.0,0.0,0.4802804557405784,0.689419795221843,0.0,0.5197195442594216,0.584070796460177,0.0,93.06930693069307,0.0,86.99186991869918,0.0
cysteine_protease,0.0,0.0,0.4845869297163995,0.5384615384615384,0.0,0.5154130702836005,0.7605633802816901,0.0,95.41666666666667,0.0,77.60416666666667,0.0
GPCR_3,0.0,0.0,0.5652435357787132,0.5652435357787132,0.0,0.4347564642212868,0.43475646422128683,0.0,84.32904411764706,0.0,84.32904411764706,0.0
ion_channel_3,0.0,0.0,0.32430143945808637,0.5846153846153846,0.0,0.6756985605419137,0.8666666666666667,0.0,94.38202247191012,0.0,77.38095238095238,0.0
zinc_finger,0.0,0.0,0.48903508771929827,0.46153846153846156,0.0,0.5109649122807017,0.4939759036144578,0.0,95.0920245398773,0.0,86.84210526315789,0.0
